source,target,type
Saint Kitts and Nevis,Lesotho,English
Saint Kitts and Nevis,Marshall Islands,English
Saint Kitts and Nevis,Nauru,English
Saint Kitts and Nevis,Dominica,English
Saint Kitts and Nevis,Australia,English
Saint Kitts and Nevis,Tuvalu,English
Saint Kitts and Nevis,Saint Lucia,English
Saint Kitts and Nevis,Palau,English
Saint Kitts and Nevis,Philippines,English
Saint Kitts and Nevis,Cameroon,English
Saint Kitts and Nevis,Vanuatu,English
Saint Kitts and Nevis,Kenya,English
Saint Kitts and Nevis,Rwanda,English
Saint Kitts and Nevis,Trinidad and Tobago,English
Saint Kitts and Nevis,Guyana,English
Saint Kitts and Nevis,Antigua and Barbuda,English
Saint Kitts and Nevis,Micronesia,English
Saint Kitts and Nevis,Ireland,English
Saint Kitts and Nevis,Eritrea,English
Saint Kitts and Nevis,Tanzania,English
Saint Kitts and Nevis,Samoa,English
Saint Kitts and Nevis,United States,English
Saint Kitts and Nevis,Saint Vincent and the Grenadines,English
Saint Kitts and Nevis,Seychelles,English
Saint Kitts and Nevis,Malta,English
Saint Kitts and Nevis,Gambia,English
Saint Kitts and Nevis,Nigeria,English
Saint Kitts and Nevis,Bahamas,English
Saint Kitts and Nevis,South Sudan,English
Saint Kitts and Nevis,Belize,English
Saint Kitts and Nevis,Liberia,English
Saint Kitts and Nevis,Jamaica,English
Saint Kitts and Nevis,Tonga,English
Saint Kitts and Nevis,Kiribati,English
Saint Kitts and Nevis,Ghana,English
Saint Kitts and Nevis,Zimbabwe,English
Saint Kitts and Nevis,New Zealand,English
Uganda,South Africa,English
Uganda,Solomon Islands,English
Uganda,Singapore,English
Uganda,United Kingdom,English
Uganda,Zambia,English
Uganda,Mauritius,English
Uganda,Sudan,English
Uganda,Fiji,English
Uganda,Pakistan,English
Uganda,Botswana,English
Uganda,Papua New Guinea,English
Uganda,India,English
Uganda,Eswatini,English
Uganda,Namibia,English
Uganda,Malaysia,English
Uganda,Canada,English
Uganda,Malawi,English
Uganda,Lesotho,English
Uganda,Marshall Islands,English
Uganda,Nauru,English
Uganda,Dominica,English
Uganda,Australia,English
Uganda,Tuvalu,English
Uganda,Saint Lucia,English
Uganda,Palau,English
Uganda,Philippines,English
Uganda,Cameroon,English
Uganda,Vanuatu,English
Uganda,Kenya,English
Uganda,Rwanda,English
Uganda,Trinidad and Tobago,English
Uganda,Guyana,English
Uganda,Antigua and Barbuda,English
Uganda,Micronesia,English
Uganda,Ireland,English
Uganda,Eritrea,English
Uganda,Tanzania,English
Uganda,Samoa,English
Uganda,United States,English
Uganda,Saint Vincent and the Grenadines,English
Uganda,Seychelles,English
Uganda,Malta,English
Uganda,Gambia,English
Uganda,Nigeria,English
Uganda,Bahamas,English
Uganda,South Sudan,English
Uganda,Belize,English
Uganda,Liberia,English
Uganda,Jamaica,English
Uganda,Tonga,English
Uganda,Kiribati,English
Uganda,Ghana,English
Uganda,Zimbabwe,English
Uganda,New Zealand,English
South Africa,Solomon Islands,English
South Africa,Singapore,English
South Africa,United Kingdom,English
South Africa,Zambia,English
South Africa,Mauritius,English
South Africa,Sudan,English
South Africa,Fiji,English
South Africa,Pakistan,English
South Africa,Botswana,English
South Africa,Papua New Guinea,English
South Africa,India,English
South Africa,Eswatini,English
South Africa,Namibia,English
South Africa,Malaysia,English
South Africa,Canada,English
South Africa,Malawi,English
South Africa,Lesotho,English
South Africa,Marshall Islands,English
South Africa,Nauru,English
South Africa,Dominica,English
South Africa,Australia,English
South Africa,Tuvalu,English
South Africa,Saint Lucia,English
South Africa,Palau,English
South Africa,Philippines,English
South Africa,Cameroon,English
South Africa,Vanuatu,English
South Africa,Kenya,English
South Africa,Rwanda,English
South Africa,Trinidad and Tobago,English
South Africa,Guyana,English
South Africa,Antigua and Barbuda,English
South Africa,Micronesia,English
South Africa,Ireland,English
South Africa,Eritrea,English
South Africa,Tanzania,English
South Africa,Samoa,English
South Africa,United States,English
South Africa,Saint Vincent and the Grenadines,English
South Africa,Seychelles,English
South Africa,Malta,English
South Africa,Gambia,English
South Africa,Nigeria,English
South Africa,Bahamas,English
South Africa,South Sudan,English
South Africa,Belize,English
South Africa,Liberia,English
South Africa,Jamaica,English
South Africa,Tonga,English
South Africa,Kiribati,English
South Africa,Ghana,English
South Africa,Zimbabwe,English
South Africa,New Zealand,English
Solomon Islands,Singapore,English
Solomon Islands,United Kingdom,English
Solomon Islands,Zambia,English
Solomon Islands,Mauritius,English
Solomon Islands,Sudan,English
Solomon Islands,Fiji,English
Solomon Islands,Pakistan,English
Solomon Islands,Botswana,English
Solomon Islands,Papua New Guinea,English
Solomon Islands,India,English
Solomon Islands,Eswatini,English
Solomon Islands,Namibia,English
Solomon Islands,Malaysia,English
Solomon Islands,Canada,English
Solomon Islands,Malawi,English
Solomon Islands,Lesotho,English
Solomon Islands,Marshall Islands,English
Solomon Islands,Nauru,English
Solomon Islands,Dominica,English
Solomon Islands,Australia,English
Solomon Islands,Tuvalu,English
Solomon Islands,Saint Lucia,English
Solomon Islands,Palau,English
Solomon Islands,Philippines,English
Solomon Islands,Cameroon,English
Solomon Islands,Vanuatu,English
Solomon Islands,Kenya,English
Solomon Islands,Rwanda,English
Solomon Islands,Trinidad and Tobago,English
Solomon Islands,Guyana,English
Solomon Islands,Antigua and Barbuda,English
Solomon Islands,Micronesia,English
Solomon Islands,Ireland,English
Solomon Islands,Eritrea,English
Solomon Islands,Tanzania,English
Solomon Islands,Samoa,English
Solomon Islands,United States,English
Solomon Islands,Saint Vincent and the Grenadines,English
Solomon Islands,Seychelles,English
Solomon Islands,Malta,English
Solomon Islands,Gambia,English
Solomon Islands,Nigeria,English
Solomon Islands,Bahamas,English
Solomon Islands,South Sudan,English
Solomon Islands,Belize,English
Solomon Islands,Liberia,English
Solomon Islands,Jamaica,English
Solomon Islands,Tonga,English
Solomon Islands,Kiribati,English
Solomon Islands,Ghana,English
Solomon Islands,Zimbabwe,English
Solomon Islands,New Zealand,English
Singapore,United Kingdom,English
Singapore,Zambia,English
Singapore,Mauritius,English
Singapore,Sudan,English
Singapore,Fiji,English
Singapore,Pakistan,English
Singapore,Botswana,English
Singapore,Papua New Guinea,English
Singapore,India,English
Singapore,Eswatini,English
Singapore,Namibia,English
Singapore,Malaysia,English
Singapore,Canada,English
Singapore,Malawi,English
Singapore,Lesotho,English
Singapore,Marshall Islands,English
Singapore,Nauru,English
Singapore,Dominica,English
Singapore,Australia,English
Singapore,Tuvalu,English
Singapore,Saint Lucia,English
Singapore,Palau,English
Singapore,Philippines,English
Singapore,Cameroon,English
Singapore,Vanuatu,English
Singapore,Kenya,English
Singapore,Rwanda,English
Singapore,Trinidad and Tobago,English
Singapore,Guyana,English
Singapore,Antigua and Barbuda,English
Singapore,Micronesia,English
Singapore,Ireland,English
Singapore,Eritrea,English
Singapore,Tanzania,English
Singapore,Samoa,English
Singapore,United States,English
Singapore,Saint Vincent and the Grenadines,English
Singapore,Seychelles,English
Singapore,Malta,English
Singapore,Gambia,English
Singapore,Nigeria,English
Singapore,Bahamas,English
Singapore,South Sudan,English
Singapore,Belize,English
Singapore,Liberia,English
Singapore,Jamaica,English
Singapore,Tonga,English
Singapore,Kiribati,English
Singapore,Ghana,English
Singapore,Zimbabwe,English
Singapore,New Zealand,English
United Kingdom,Zambia,English
United Kingdom,Mauritius,English
United Kingdom,Sudan,English
United Kingdom,Fiji,English
United Kingdom,Pakistan,English
United Kingdom,Botswana,English
United Kingdom,Papua New Guinea,English
United Kingdom,India,English
United Kingdom,Eswatini,English
United Kingdom,Namibia,English
United Kingdom,Malaysia,English
United Kingdom,Canada,English
United Kingdom,Malawi,English
United Kingdom,Lesotho,English
United Kingdom,Marshall Islands,English
United Kingdom,Nauru,English
United Kingdom,Dominica,English
United Kingdom,Australia,English
United Kingdom,Tuvalu,English
United Kingdom,Saint Lucia,English
United Kingdom,Palau,English
United Kingdom,Philippines,English
United Kingdom,Cameroon,English
United Kingdom,Vanuatu,English
United Kingdom,Kenya,English
United Kingdom,Rwanda,English
United Kingdom,Trinidad and Tobago,English
United Kingdom,Guyana,English
United Kingdom,Antigua and Barbuda,English
United Kingdom,Micronesia,English
United Kingdom,Ireland,English
United Kingdom,Eritrea,English
United Kingdom,Tanzania,English
United Kingdom,Samoa,English
United Kingdom,United States,English
United Kingdom,Saint Vincent and the Grenadines,English
United Kingdom,Seychelles,English
United Kingdom,Malta,English
United Kingdom,Gambia,English
United Kingdom,Nigeria,English
United Kingdom,Bahamas,English
United Kingdom,South Sudan,English
United Kingdom,Belize,English
United Kingdom,Liberia,English
United Kingdom,Jamaica,English
United Kingdom,Tonga,English
United Kingdom,Kiribati,English
United Kingdom,Ghana,English
United Kingdom,Zimbabwe,English
United Kingdom,New Zealand,English
Zambia,Mauritius,English
Zambia,Sudan,English
Zambia,Fiji,English
Zambia,Pakistan,English
Zambia,Botswana,English
Zambia,Papua New Guinea,English
Zambia,India,English
Zambia,Eswatini,English
Zambia,Namibia,English
Zambia,Malaysia,English
Zambia,Canada,English
Zambia,Malawi,English
Zambia,Lesotho,English
Zambia,Marshall Islands,English
Zambia,Nauru,English
Zambia,Dominica,English
Zambia,Australia,English
Zambia,Tuvalu,English
Zambia,Saint Lucia,English
Zambia,Palau,English
Zambia,Philippines,English
Zambia,Cameroon,English
Zambia,Vanuatu,English
Zambia,Kenya,English
Zambia,Rwanda,English
Zambia,Trinidad and Tobago,English
Zambia,Guyana,English
Zambia,Antigua and Barbuda,English
Zambia,Micronesia,English
Zambia,Ireland,English
Zambia,Eritrea,English
Zambia,Tanzania,English
Zambia,Samoa,English
Zambia,United States,English
Zambia,Saint Vincent and the Grenadines,English
Zambia,Seychelles,English
Zambia,Malta,English
Zambia,Gambia,English
Zambia,Nigeria,English
Zambia,Bahamas,English
Zambia,South Sudan,English
Zambia,Belize,English
Zambia,Liberia,English
Zambia,Jamaica,English
Zambia,Tonga,English
Zambia,Kiribati,English
Zambia,Ghana,English
Zambia,Zimbabwe,English
Zambia,New Zealand,English
Mauritius,Sudan,English
Mauritius,Fiji,English
Mauritius,Pakistan,English
Mauritius,Botswana,English
Mauritius,Papua New Guinea,English
Mauritius,India,English
Mauritius,Eswatini,English
Mauritius,Namibia,English
Mauritius,Malaysia,English
Mauritius,Canada,English
Mauritius,Malawi,English
Mauritius,Lesotho,English
Mauritius,Marshall Islands,English
Mauritius,Nauru,English
Mauritius,Dominica,English
Mauritius,Australia,English
Mauritius,Tuvalu,English
Mauritius,Saint Lucia,English
Mauritius,Palau,English
Mauritius,Philippines,English
Mauritius,Cameroon,English
Mauritius,Vanuatu,English
Mauritius,Kenya,English
Mauritius,Rwanda,English
Mauritius,Trinidad and Tobago,English
Mauritius,Guyana,English
Mauritius,Antigua and Barbuda,English
Mauritius,Micronesia,English
Mauritius,Ireland,English
Mauritius,Eritrea,English
Mauritius,Tanzania,English
Mauritius,Samoa,English
Mauritius,United States,English
Mauritius,Saint Vincent and the Grenadines,English
Mauritius,Seychelles,English
Mauritius,Malta,English
Mauritius,Gambia,English
Mauritius,Nigeria,English
Mauritius,Bahamas,English
Mauritius,South Sudan,English
Mauritius,Belize,English
Mauritius,Liberia,English
Mauritius,Jamaica,English
Mauritius,Tonga,English
Mauritius,Kiribati,English
Mauritius,Ghana,English
Mauritius,Zimbabwe,English
Mauritius,New Zealand,English
Sudan,Fiji,English
Sudan,Pakistan,English
Sudan,Botswana,English
Sudan,Papua New Guinea,English
Sudan,India,English
Sudan,Eswatini,English
Sudan,Namibia,English
Sudan,Malaysia,English
Sudan,Canada,English
Sudan,Malawi,English
Sudan,Lesotho,English
Sudan,Marshall Islands,English
Sudan,Nauru,English
Sudan,Dominica,English
Sudan,Australia,English
Sudan,Tuvalu,English
Sudan,Saint Lucia,English
Sudan,Palau,English
Sudan,Philippines,English
Sudan,Cameroon,English
Sudan,Vanuatu,English
Sudan,Kenya,English
Sudan,Rwanda,English
Sudan,Trinidad and Tobago,English
Sudan,Guyana,English
Sudan,Antigua and Barbuda,English
Sudan,Micronesia,English
Sudan,Ireland,English
Sudan,Eritrea,English
Sudan,Tanzania,English
Sudan,Samoa,English
Sudan,United States,English
Sudan,Saint Vincent and the Grenadines,English
Sudan,Seychelles,English
Sudan,Malta,English
Sudan,Gambia,English
Sudan,Nigeria,English
Sudan,Bahamas,English
Sudan,South Sudan,English
Sudan,Belize,English
Sudan,Liberia,English
Sudan,Jamaica,English
Sudan,Tonga,English
Sudan,Kiribati,English
Sudan,Ghana,English
Sudan,Zimbabwe,English
Sudan,New Zealand,English
Fiji,Pakistan,English
Fiji,Botswana,English
Fiji,Papua New Guinea,English
Fiji,India,English
Fiji,Eswatini,English
Fiji,Namibia,English
Fiji,Malaysia,English
Fiji,Canada,English
Fiji,Malawi,English
Fiji,Lesotho,English
Fiji,Marshall Islands,English
Fiji,Nauru,English
Fiji,Dominica,English
Fiji,Australia,English
Fiji,Tuvalu,English
Fiji,Saint Lucia,English
Fiji,Palau,English
Fiji,Philippines,English
Fiji,Cameroon,English
Fiji,Vanuatu,English
Fiji,Kenya,English
Fiji,Rwanda,English
Fiji,Trinidad and Tobago,English
Fiji,Guyana,English
Fiji,Antigua and Barbuda,English
Fiji,Micronesia,English
Fiji,Ireland,English
Fiji,Eritrea,English
Fiji,Tanzania,English
Fiji,Samoa,English
Fiji,United States,English
Fiji,Saint Vincent and the Grenadines,English
Fiji,Seychelles,English
Fiji,Malta,English
Fiji,Gambia,English
Fiji,Nigeria,English
Fiji,Bahamas,English
Fiji,South Sudan,English
Fiji,Belize,English
Fiji,Liberia,English
Fiji,Jamaica,English
Fiji,Tonga,English
Fiji,Kiribati,English
Fiji,Ghana,English
Fiji,Zimbabwe,English
Fiji,New Zealand,English
Pakistan,Botswana,English
Pakistan,Papua New Guinea,English
Pakistan,India,English
Pakistan,Eswatini,English
Pakistan,Namibia,English
Pakistan,Malaysia,English
Pakistan,Canada,English
Pakistan,Malawi,English
Pakistan,Lesotho,English
Pakistan,Marshall Islands,English
Pakistan,Nauru,English
Pakistan,Dominica,English
Pakistan,Australia,English
Pakistan,Tuvalu,English
Pakistan,Saint Lucia,English
Pakistan,Palau,English
Pakistan,Philippines,English
Pakistan,Cameroon,English
Pakistan,Vanuatu,English
Pakistan,Kenya,English
Pakistan,Rwanda,English
Pakistan,Trinidad and Tobago,English
Pakistan,Guyana,English
Pakistan,Antigua and Barbuda,English
Pakistan,Micronesia,English
Pakistan,Ireland,English
Pakistan,Eritrea,English
Pakistan,Tanzania,English
Pakistan,Samoa,English
Pakistan,United States,English
Pakistan,Saint Vincent and the Grenadines,English
Pakistan,Seychelles,English
Pakistan,Malta,English
Pakistan,Gambia,English
Pakistan,Nigeria,English
Pakistan,Bahamas,English
Pakistan,South Sudan,English
Pakistan,Belize,English
Pakistan,Liberia,English
Pakistan,Jamaica,English
Pakistan,Tonga,English
Pakistan,Kiribati,English
Pakistan,Ghana,English
Pakistan,Zimbabwe,English
Pakistan,New Zealand,English
Botswana,Papua New Guinea,English
Botswana,India,English
Botswana,Eswatini,English
Botswana,Namibia,English
Botswana,Malaysia,English
Botswana,Canada,English
Botswana,Malawi,English
Botswana,Lesotho,English
Botswana,Marshall Islands,English
Botswana,Nauru,English
Botswana,Dominica,English
Botswana,Australia,English
Botswana,Tuvalu,English
Botswana,Saint Lucia,English
Botswana,Palau,English
Botswana,Philippines,English
Botswana,Cameroon,English
Botswana,Vanuatu,English
Botswana,Kenya,English
Botswana,Rwanda,English
Botswana,Trinidad and Tobago,English
Botswana,Guyana,English
Botswana,Antigua and Barbuda,English
Botswana,Micronesia,English
Botswana,Ireland,English
Botswana,Eritrea,English
Botswana,Tanzania,English
Botswana,Samoa,English
Botswana,United States,English
Botswana,Saint Vincent and the Grenadines,English
Botswana,Seychelles,English
Botswana,Malta,English
Botswana,Gambia,English
Botswana,Nigeria,English
Botswana,Bahamas,English
Botswana,South Sudan,English
Botswana,Belize,English
Botswana,Liberia,English
Botswana,Jamaica,English
Botswana,Tonga,English
Botswana,Kiribati,English
Botswana,Ghana,English
Botswana,Zimbabwe,English
Botswana,New Zealand,English
Papua New Guinea,India,English
Papua New Guinea,Eswatini,English
Papua New Guinea,Namibia,English
Papua New Guinea,Malaysia,English
Papua New Guinea,Canada,English
Papua New Guinea,Malawi,English
Papua New Guinea,Lesotho,English
Papua New Guinea,Marshall Islands,English
Papua New Guinea,Nauru,English
Papua New Guinea,Dominica,English
Papua New Guinea,Australia,English
Papua New Guinea,Tuvalu,English
Papua New Guinea,Saint Lucia,English
Papua New Guinea,Palau,English
Papua New Guinea,Philippines,English
Papua New Guinea,Cameroon,English
Papua New Guinea,Vanuatu,English
Papua New Guinea,Kenya,English
Papua New Guinea,Rwanda,English
Papua New Guinea,Trinidad and Tobago,English
Papua New Guinea,Guyana,English
Papua New Guinea,Antigua and Barbuda,English
Papua New Guinea,Micronesia,English
Papua New Guinea,Ireland,English
Papua New Guinea,Eritrea,English
Papua New Guinea,Tanzania,English
Papua New Guinea,Samoa,English
Papua New Guinea,United States,English
Papua New Guinea,Saint Vincent and the Grenadines,English
Papua New Guinea,Seychelles,English
Papua New Guinea,Malta,English
Papua New Guinea,Gambia,English
Papua New Guinea,Nigeria,English
Papua New Guinea,Bahamas,English
Papua New Guinea,South Sudan,English
Papua New Guinea,Belize,English
Papua New Guinea,Liberia,English
Papua New Guinea,Jamaica,English
Papua New Guinea,Tonga,English
Papua New Guinea,Kiribati,English
Papua New Guinea,Ghana,English
Papua New Guinea,Zimbabwe,English
Papua New Guinea,New Zealand,English
India,Eswatini,English
India,Namibia,English
India,Malaysia,English
India,Canada,English
India,Malawi,English
India,Lesotho,English
India,Marshall Islands,English
India,Nauru,English
India,Dominica,English
India,Australia,English
India,Tuvalu,English
India,Saint Lucia,English
India,Palau,English
India,Philippines,English
India,Cameroon,English
India,Vanuatu,English
India,Kenya,English
India,Rwanda,English
India,Trinidad and Tobago,English
India,Guyana,English
India,Antigua and Barbuda,English
India,Micronesia,English
India,Ireland,English
India,Eritrea,English
India,Tanzania,English
India,Samoa,English
India,United States,English
India,Saint Vincent and the Grenadines,English
India,Seychelles,English
India,Malta,English
India,Gambia,English
India,Nigeria,English
India,Bahamas,English
India,South Sudan,English
India,Belize,English
India,Liberia,English
India,Jamaica,English
India,Tonga,English
India,Kiribati,English
India,Ghana,English
India,Zimbabwe,English
India,New Zealand,English
Eswatini,Namibia,English
Eswatini,Malaysia,English
Eswatini,Canada,English
Eswatini,Malawi,English
Eswatini,Lesotho,English
Eswatini,Marshall Islands,English
Eswatini,Nauru,English
Eswatini,Dominica,English
Eswatini,Australia,English
Eswatini,Tuvalu,English
Eswatini,Saint Lucia,English
Eswatini,Palau,English
Eswatini,Philippines,English
Eswatini,Cameroon,English
Eswatini,Vanuatu,English
Eswatini,Kenya,English
Eswatini,Rwanda,English
Eswatini,Trinidad and Tobago,English
Eswatini,Guyana,English
Eswatini,Antigua and Barbuda,English
Eswatini,Micronesia,English
Eswatini,Ireland,English
Eswatini,Eritrea,English
Eswatini,Tanzania,English
Eswatini,Samoa,English
Eswatini,United States,English
Eswatini,Saint Vincent and the Grenadines,English
Eswatini,Seychelles,English
Eswatini,Malta,English
Eswatini,Gambia,English
Eswatini,Nigeria,English
Eswatini,Bahamas,English
Eswatini,South Sudan,English
Eswatini,Belize,English
Eswatini,Liberia,English
Eswatini,Jamaica,English
Eswatini,Tonga,English
Eswatini,Kiribati,English
Eswatini,Ghana,English
Eswatini,Zimbabwe,English
Eswatini,New Zealand,English
Namibia,Malaysia,English
Namibia,Canada,English
Namibia,Malawi,English
Namibia,Lesotho,English
Namibia,Marshall Islands,English
Namibia,Nauru,English
Namibia,Dominica,English
Namibia,Australia,English
Namibia,Tuvalu,English
Namibia,Saint Lucia,English
Namibia,Palau,English
Namibia,Philippines,English
Namibia,Cameroon,English
Namibia,Vanuatu,English
Namibia,Kenya,English
Namibia,Rwanda,English
Namibia,Trinidad and Tobago,English
Namibia,Guyana,English
Namibia,Antigua and Barbuda,English
Namibia,Micronesia,English
Namibia,Ireland,English
Namibia,Eritrea,English
Namibia,Tanzania,English
Namibia,Samoa,English
Namibia,United States,English
Namibia,Saint Vincent and the Grenadines,English
Namibia,Seychelles,English
Namibia,Malta,English
Namibia,Gambia,English
Namibia,Nigeria,English
Namibia,Bahamas,English
Namibia,South Sudan,English
Namibia,Belize,English
Namibia,Liberia,English
Namibia,Jamaica,English
Namibia,Tonga,English
Namibia,Kiribati,English
Namibia,Ghana,English
Namibia,Zimbabwe,English
Namibia,New Zealand,English
Malaysia,Canada,English
Malaysia,Malawi,English
Malaysia,Lesotho,English
Malaysia,Marshall Islands,English
Malaysia,Nauru,English
Malaysia,Dominica,English
Malaysia,Australia,English
Malaysia,Tuvalu,English
Malaysia,Saint Lucia,English
Malaysia,Palau,English
Malaysia,Philippines,English
Malaysia,Cameroon,English
Malaysia,Vanuatu,English
Malaysia,Kenya,English
Malaysia,Rwanda,English
Malaysia,Trinidad and Tobago,English
Malaysia,Guyana,English
Malaysia,Antigua and Barbuda,English
Malaysia,Micronesia,English
Malaysia,Ireland,English
Malaysia,Eritrea,English
Malaysia,Tanzania,English
Malaysia,Samoa,English
Malaysia,United States,English
Malaysia,Saint Vincent and the Grenadines,English
Malaysia,Seychelles,English
Malaysia,Malta,English
Malaysia,Gambia,English
Malaysia,Nigeria,English
Malaysia,Bahamas,English
Malaysia,South Sudan,English
Malaysia,Belize,English
Malaysia,Liberia,English
Malaysia,Jamaica,English
Malaysia,Tonga,English
Malaysia,Kiribati,English
Malaysia,Ghana,English
Malaysia,Zimbabwe,English
Malaysia,New Zealand,English
Canada,Malawi,English
Canada,Lesotho,English
Canada,Marshall Islands,English
Canada,Nauru,English
Canada,Dominica,English
Canada,Australia,English
Canada,Tuvalu,English
Canada,Saint Lucia,English
Canada,Palau,English
Canada,Philippines,English
Canada,Cameroon,English
Canada,Vanuatu,English
Canada,Kenya,English
Canada,Rwanda,English
Canada,Trinidad and Tobago,English
Canada,Guyana,English
Canada,Antigua and Barbuda,English
Canada,Micronesia,English
Canada,Ireland,English
Canada,Eritrea,English
Canada,Tanzania,English
Canada,Samoa,English
Canada,United States,English
Canada,Saint Vincent and the Grenadines,English
Canada,Seychelles,English
